Time;Angle1;Angle2;AngularVel1;AngularVel2;A;B;C;AB;BC;gt_Angle1;gt_Angle2;abs_err_Angle1;abs_err_Angle2
54.3364;-0.10103726477533198;-2.901812897878774;-18.745184084201846;23.612045938077422;[500. 500.];[477.  718.7];[445.7 494.7];[-23.  218.7];[ -31.3 -224. ];-0.10478173010462008;-2.897977699724374;0.003744465329288099;0.0038351981544000324
55.3329;-0.40249944635150503;2.8533469571129317;21.88194245954761;-1.4143649679611152;[500. 500.];[413.1 702.9];[557.5 528.9];[-86.9 202.9];[ 144.4 -174. ];-0.4046538326905262;2.8535467123562155;0.0021543863390211526;0.00019975524328375016
56.347;-0.8847484459534899;0.3622258673293868;12.04389984824838;68.9635767603371;[500. 500.];[327.8 640.4];[218.3 831.2];[-172.2  140.4];[-109.5  190.8];-0.8867768655232653;0.36577013096105654;0.002028419569775397;0.003544263631669764
57.366;-1.413729765831458;-0.07468463037174851;6.934697529952583;4.682880490090002;[500. 500.];[278.8 535.2];[ 59.7 552.3];[-221.2   35.2];[-219.1   17.1];-1.4129875058255472;-0.07992015763644751;0.000742260005910822;0.0052355272646990025
58.4418;1.730850434020982;-1.7487056791605347;9.579436160218345;8.555839785193713;[500. 500.];[723.1 464.1];[719.7 688.2];[223.1 -35.9];[ -3.4 224.1];1.7303430257065917;-1.745513660072639;0.0005074083143903341;0.00319201908789557
59.534;-1.4403200954026474;-3.0023108120199136;-1.9197205933322283;20.36347091203828;[500. 500.];[277.3 529. ];[495.9 468.7];[-222.7   29. ];[218.6 -60.3];-1.4413049585517812;-3.001931187934891;0.000984863149133819;0.00037962408502245637
60.609;1.0650050112004932;-2.6180254327477686;7.275148696296688;-14.785652463023423;[500. 500.];[695.  608.2];[468.8 611.7];[195.  108.2];[-226.2    3.5];1.064220470438594;-2.61954499916577;0.0007845407618991551;0.001519566418001439
61.6401;-0.3619587572377291;-0.9583944799458157;-17.62509580400516;30.07782001185963;[500. 500.];[422.1 705.9];[205.9 761.7];[-77.9 205.9];[-216.2   55.8];-0.36169479400074117;-0.9565192795100176;0.00026396323698790747;0.001875200435798141
62.6265;0.5691606125238783;-0.09530927602911916;25.967391955365244;118.2620948669769;[500. 500.];[618.5 685.7];[718.8 881.7];[118.5 185.7];[100.3 196. ];0.5679826114775498;-0.09499137839763669;0.0011780010463284807;0.00031789763148247496
63.6449;0.03651344474687729;-0.8664680862805347;-129.25283512221569;-31.384746666001035;[500. 500.];[508.  719.3];[343.4 869.3];[  8.  219.3];[-164.6  150. ];0.036463539047896745;-0.8682365661121224;4.990569898054298e-05;0.001768479831587677
