Time,Angle1,Angle2,AngularVel1,AngularVel2
"4,6966","0,8553475484382301","0,3764088806018159","37,005359446771095","-117,9479725496808"
"4,7398","1,7033478590915707","0,28567279728255524","19,629636820679323","-2,100372299056975"
"4,7868","2,396420457231465","0,08412902750764194","14,746225492337992","-4,288165314359802"
"4,8339","2,916759726987514","0,08030775715535705","11,047542882294156","-0,08113100535636786"
"4,8832","-2,938167881698684","0,23543452707239756","8,686768732117303","3,1465876250920632"
"4,9313","-2,5024774815853013","0,4062565842292486","9,058012476369736","3,551394119685067"
"4,9777","-1,3453379605118367","0,3071852409464573","24,938351747273302","-2,135158260405015"
"5,0225","-0,7150018600912118","0,2189112774098709","14,070002241531682","-1,9704009717987867"
"5,068","-0,2526962607267005","0,5097888686993618","10,160562623395931","6,392914094274573"
"5,1187","-0,009090658665050337","1,1242713322487319","4,80484422212328","12,119969695253856"
"5,1657","0,02726596845559246","1,8230525106229425","0,7735452578860071","14,867684646259612"
"5,2119","-0,20186380535890014","2,466829580197971","131,0401630598511","13,934568605520163"
"5,2551","-1,3865463725149691","2,9263791471268843","-27,423207573057354","10,637721456687881"
"5,3055","-1,8953479943136315","2,68074615771108","-10,09527027378285","-4,873670424916691"
"5,3484","-2,2125368740269002","2,2080924588459405","-7,393680179796561","-11,017568738115266"
"5,3972","-2,365540012499835","1,6400071388185098","-3,1353102146093246","-11,641092623512936"
"5,472","-2,1354902689739976","0,29203685651812505","3,0755313305592984","-18,020993078881993"
"5,52","-1,6154095618411994","-0,9054053437969505","10,835014731933487","-24,946712506564513"
"5,5699","-0,8651011649833842","-1,9322728056239415","15,036240417992273","-20,578506249037876"
"5,6162","0,12774098612131216","-2,1879728547142907","21,443674969863643","-5,522679246011807"
"5,6612","1,0026915943204693",,"19,44334684887019",
"5,7089","1,423228255480902","2,651876232296142","8,816282204621256",
"5,7542","1,7577755967138078","-2,1539314375042258","7,385151020593929","-106,08846953201667"
"5,8026","1,2912741745112564","-0,12896674078898854","-9,638459136416351","41,83811356849664"
"5,8481","0,4960905826813406","2,1838464911452418","-17,47656245780048","50,83106004251094"
"5,8961","-0,2161937034043284","-2,41010744239892","-14,83925596011809","35,19232028407131"
"5,9396","-1,602036160225165","1,9420687844109277","-31,858447283237066","100,05002820252348"
"5,9897","-1,5886515719344492","-2,8733939899239767","0,26715745091249243","29,295858939015854"
"6,0366","-1,413729765831458","-1,5700941501623813","3,7296760363111163","27,788909163360277"
"6,0824","-1,2703191584223157",,"3,13123596963194",
"6,1283","-0,8141442364111277","0,6238156967192204","9,93845145993863",
"6,1748","0,1599131231582192","0,08726333862775043","20,94747009826553","-11,538760389063873"
"6,2163","1,9300814003122777","-0,4734651789598446","42,654657280820594","-13,511530544279367"
"6,2662","2,2537506366852202","0,5981504456594134","6,486357442343531","-104,44027419960565"
"6,3113","2,518281952679464","1,694402907898783","5,865439379029839","24,30714993878885"
"6,3603","2,8795762356355663","2,728868129320468","7,373352713389916","21,111535131055014"
"6,4334","2,9742825962555446","-1,5333813735311832","1,2955726487001105","27,646180633761027"
"6,4837","2,4367650336561435","-0,2178593357578415","-10,686233848894652","26,15351963764098"
"6,5307","1,6373644905707203","1,4590101381102127","-17,00852219330666","35,67807391208581"
"6,5771","-0,3864085008206235","2,550127440664469","-43,61579722826235","23,515459106773108"
"6,6221","-1,1794570401233704","1,8069452828113033","-17,623300873394403","-16,51515906340371"
"6,6733","-1,219351532791345","-0,0065769712225934905","-0,7791893099213684","-35,42035652409915"
"6,7178","-1,0179551052023574","-2,0925364689454544","4,525762417730034","-46,87549433085059"
"6,766","-0,9526521008597093","2,3495472385167195","1,3548341149927117","-38,197128624842904"
"6,8145","-0,22407961614291916","-0,21309759862064837","15,022113086944199","-52,838037879121245"
"6,8578","1,3053243086870163","1,6688990937878903","35,321106809005165","-101,6440788630719"
"6,9069","2,190534303870922",,"18,028716806189475",
"6,9524","2,7211401637050825","-3,072584957708633","11,661667249102514",
"7,0024","-3,0977610958641564","1,2907195083508214","9,285680952206972","87,2660893211894"
"7,0468","-2,2937756801963873","-1,179581499195839","18,10777963215678","85,87577251425424"
"7,093","-1,5752605828520267","-3,1060273180906806","15,552274834293588","-41,69796144794047"
"7,137","0,5427504983797106","-2,1046974986583495","48,13661548253993","22,75749589618955"
"7,1839","1,4414772252030152","2,4034200284490908","19,162616776615966","96,12190889354714"
"7,2347","2,2537506366852202","0,33071762674517724","15,989634084295458","-40,801228379998506"
"7,2792","2,99659963364508","-1,8954628674669225","16,69323588673835","-50,02652795982224"
"7,3288","-2,8379207969197933","2,621195483195053","9,045662834974063","-35,615462833016444"
"7,4061","-1,2660413029726347","-1,768340693836549","20,33479293592698","-56,78572027207753"
"7,4507","-0,3088387899010123","2,95708959488309","21,461939754969126","-34,92724256636654"
"7,4962","1,7264769695833522","-1,624156975536393","44,7322144941622","-100,68673781141798"
"7,5427","2,278469764527742","2,9233547576550296","11,870812794503008","-37,32631341910031"
"7,591","2,760273268526475","1,3666256658374916","9,97522782606068","-32,23041597965902"
