Time;Angle1;Angle2;AngularVel1;AngularVel2
0.1446;-0.0;-0.004587123789386096;-0.0;-0.03172284778275308
0.539;-0.0;-0.0;0.0;0.011630638411222352
0.6217;-0.0;-0.0;0.0;0.0
1.1029;-0.0;-0.0;0.0;0.0
1.1786;-0.0;-0.0;0.0;0.0
1.2633;-0.0;-0.004587123789386096;0.0;-0.05415730565981223
1.3548;-0.0;-0.0;0.0;0.05013250043044918
1.4312;-0.0;-0.004587123789386096;0.0;-0.06004088729562951
1.5045;-0.0;-0.0;0.0;0.06258013355233426
1.5672;-0.0;-0.004566178310495899;0.0;-0.07282581037473525
1.628;-0.0;-0.0;0.0;0.07510161694894575
1.7978;-0.0;-0.004587123789386096;0.0;-0.027014863306160725
1.8722;-0.0;-0.0;0.0;0.061654889642286215
1.9519;-0.0;-0.004587123789386096;0.0;-0.05755487816042789
2.0253;-0.0;-0.0;0.0;0.062494874514796836
2.1061;-0.0;-0.0;0.0;0.0
2.1823;-0.0;-0.004587123789386096;0.0;-0.060198474926326684
2.2635;-0.0;-0.004566178310495899;0.0;0.00025794924741622075
2.3401;-0.0;-0.004566178310495899;0.0;0.0
2.4354;-0.0;-0.004587123789386096;0.0;-0.00021978466831266654
2.5119;-0.0;-0.004587123789386096;0.0;0.0
2.5883;-0.0;-0.0;0.0;0.06004088729562951
2.6526;-0.0;-0.0;0.0;0.0
2.7075;-0.0;-0.004587123789386096;0.0;-0.08355416738408197
2.7833;-0.0;-0.004587123789386096;0.0;0.0
2.8535;-0.0;-0.0;0.0;0.06534364372344882
2.9175;-0.0;-0.004587123789386096;0.0;-0.07167380920915768
2.9763;-0.0;-0.0;0.0;0.07801230934330071
3.0429;-0.0;-0.0;0.0;0.0
3.1224;-0.0;-0.004566178310495899;0.0;-0.05743620516347049
3.1993;-0.0;-0.004587123789386096;0.0;-0.00027237293745379786
3.2786;-0.0;-0.0;0.0;0.05784519280436444
3.3539;-0.0;-0.004566178310495899;0.0;-0.06063981820047681
3.4128;-0.0;-0.004587123789386096;0.0;-0.00035561084703220926
3.4771;-0.0;-0.0;0.0;0.07133940574472905
3.5433;-0.0;-0.004587123789386096;0.0;-0.06929190014178412
3.6177;-0.0;-0.0;0.0;0.061654889642286034
3.6785;-0.0;-0.0;0.0;0.0
3.7619;-0.0;-0.004587123789386096;0.0;-0.05500148428520518
3.8384;-0.0;-0.004566178310495899;0.0;0.00027379710967577833
3.9208;-0.0;-0.004587123789386096;0.0;-0.00025419270497812084
4.0579;-0.0;-0.0;0.0;0.033458233328855495
4.1327;-0.0;-0.0;0.0;0.0
4.2105;-0.0;-0.004587123789386096;0.0;-0.05896046001781624
4.2779;-0.0;-0.0;0.0;0.06805821645973423
4.3516;-0.0;-0.004587123789386096;0.0;-0.06224048560903748
4.4282;-0.0;-0.004587123789386096;0.0;0.0
4.507;-0.0;-0.0;0.0;0.058212230829773295
4.5714;-0.0;-0.004566178310495899;0.0;-0.07090338991453257
4.6496;-0.0;-0.0;0.0;0.058391026988438066
4.7319;-0.0;-0.0;0.0;0.0
4.8048;-0.0;-0.0;0.0;0.0
4.8823;-0.0;-0.0;0.0;0.0
4.9462;-0.0;-0.0;0.0;0.0
5.0071;-0.0;-0.004587123789386096;0.0;-0.07532222971077311
5.0795;-0.0;-0.004587123789386096;0.0;0.0
5.1512;-0.0;-0.0;0.0;0.06397662188823018
5.2304;-0.0;-0.0;0.0;0.0
5.307;-0.0;-0.0;0.0;0.0
5.3844;-0.0;-0.0;0.0;0.0
5.4499;-0.0;-0.0;0.0;0.0
5.5258;-0.0;-0.0;0.0;0.0
5.5899;-0.0;-0.0;0.0;0.0
5.6533;-0.0;-0.0;0.0;0.0
5.7092;-0.0;-0.0;0.0;0.0
5.7801;-0.0;-0.0;0.0;0.0
5.8562;-0.0;-0.0;0.0;0.0
5.92;-0.0;-0.0;0.0;0.0
5.982;-0.0;-0.0;0.0;0.0
6.0425;-0.0;-0.0;0.0;0.0
